Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
perkRuleTwoDoubleTapName,progression,perk Agi,,,,Rule 2: Double Tap,,Regel Nr. 2: Double Tap,Regla 2: Double Tap,Règle 2 : Double Tap,Regola numero 2: Double Tap,ルール2：ダブルタップ,규칙 2: 더블 탭,Zasada nr 2: Double Tap,Regra 2: Double Tap,Правило 2: Контрольный выстрел,2. Kural: Double Tap,规则2：补枪,第 2 條：補槍
perkRuleTwoDoubleTapDesc,progression,perk Agi,,,,Dash on demand. Tap the dash key for a burst of speed in the direction you are moving.,,"Dash auf Knopfdruck. Die Dash-Taste gibt einen Schub in die Richtung, in die du dich bewegst.",Impulso a voluntad. Pulsa la tecla de impulso para acelerar en la dirección en la que te mueves.,Une ruée à la demande. Appuyez sur la touche de ruée pour bondir dans la direction de votre déplacement.,Scatto a comando. Premi il tasto di scatto per un balzo nella direzione in cui ti muovi.,任意のタイミングでダッシュ。ダッシュキーを押すと移動方向へ加速する。,원할 때 대시. 대시 키를 누르면 이동 중인 방향으로 순간 가속합니다.,"Zryw na żądanie. Naciśnij klawisz zrywu, aby przyspieszyć w kierunku ruchu.",Impulso quando quiser. Aperte a tecla de impulso para acelerar na direção do movimento.,"Рывок по требованию. Нажмите клавишу рывка, чтобы рвануть в сторону движения.",İstediğin an atılış. Atılış tuşuna basınca hareket ettiğin yöne doğru hızlanırsın.,随时冲刺。按下冲刺键即可朝移动方向猛冲。,隨時衝刺。按下衝刺鍵即可朝移動方向猛衝。
perkRuleTwoDoubleTapRank1Desc,progression,perk Agi,,,,Unlocks the ground dash.,,Schaltet den Dash am Boden frei.,Desbloquea el impulso en tierra.,Débloque la ruée au sol.,Sblocca lo scatto a terra.,地上ダッシュを習得する。,지상 대시를 해금합니다.,Odblokowuje zryw na ziemi.,Desbloqueia o impulso no chão.,Открывает рывок по земле.,Yerde atılışı açar.,解锁地面冲刺。,解鎖地面衝刺。
perkRuleTwoDoubleTapRank1LongDesc,progression,perk Agi,,,,You can dash along the ground. Costs stamina and has a cooldown.,,Du kannst am Boden dashen. Kostet Ausdauer und hat eine Abklingzeit.,Puedes impulsarte por el suelo. Cuesta aguante y tiene tiempo de reutilización.,Vous pouvez ruer au sol. Coûte de l'endurance et a un temps de recharge.,Puoi scattare a terra. Costa vigore e ha una ricarica.,地上でダッシュできる。スタミナを消費し、クールダウンがある。,지상에서 대시할 수 있습니다. 스태미나를 소모하며 재사용 대기시간이 있습니다.,Możesz wykonać zryw po ziemi. Kosztuje wytrzymałość i ma czas odnowienia.,Você pode se impulsionar pelo chão. Custa vigor e tem recarga.,Вы можете совершить рывок по земле. Тратит выносливость и имеет перезарядку.,Yerde atılış yapabilirsin. Dayanıklılık harcar ve bekleme süresi vardır.,可以在地面上冲刺。消耗耐力，并有冷却时间。,可以在地面上衝刺。消耗耐力，並有冷卻時間。
perkRuleTwoDoubleTapRank2Desc,progression,perk Agi,,,,"Stronger dash, shorter cooldown.",,"Stärkerer Dash, kürzere Abklingzeit.","Impulso más fuerte, menor tiempo de reutilización.","Ruée plus puissante, temps de recharge réduit.","Scatto più potente, ricarica più breve.",ダッシュ強化、クールダウン短縮。,"더 강한 대시, 더 짧은 재사용 대기시간.","Silniejszy zryw, krótszy czas odnowienia.","Impulso mais forte, recarga mais curta.","Более сильный рывок, короче перезарядка.","Daha güçlü atılış, daha kısa bekleme.",冲刺更强，冷却更短。,衝刺更強，冷卻更短。
perkRuleTwoDoubleTapRank2LongDesc,progression,perk Agi,,,,The dash carries further and recharges faster.,,Der Dash trägt weiter und ist schneller wieder bereit.,El impulso llega más lejos y se recupera más rápido.,La ruée porte plus loin et se recharge plus vite.,Lo scatto arriva più lontano e si ricarica più in fretta.,ダッシュの距離が伸び、再使用までの時間が短くなる。,대시 거리가 늘어나고 더 빨리 재사용할 수 있습니다.,Zryw niesie dalej i szybciej się odnawia.,O impulso vai mais longe e recarrega mais rápido.,Рывок уносит дальше и быстрее восстанавливается.,Atılış daha uzağa taşır ve daha hızlı dolar.,冲刺距离更远，冷却恢复更快。,衝刺距離更遠，冷卻恢復更快。
perkRuleTwoDoubleTapRank3Desc,progression,perk Agi,,,,Unlocks the air dash.,,Schaltet den Air-Dash frei.,Desbloquea el impulso aéreo.,Débloque la ruée aérienne.,Sblocca lo scatto in aria.,空中ダッシュを習得する。,공중 대시를 해금합니다.,Odblokowuje zryw w powietrzu.,Desbloqueia o impulso aéreo.,Открывает рывок в воздухе.,Havada atılışı açar.,解锁空中冲刺。,解鎖空中衝刺。
perkRuleTwoDoubleTapRank3LongDesc,progression,perk Agi,,,,"You can dash once while airborne. The dash cancels your fall, so it carries you flat.",,Du kannst einmal in der Luft dashen. Der Dash stoppt den Fall und trägt dich waagerecht.,Puedes impulsarte una vez en el aire. El impulso cancela la caída y te lleva en horizontal.,Vous pouvez ruer une fois en l'air. La ruée annule la chute et vous porte à l'horizontale.,Puoi scattare una volta in aria. Lo scatto annulla la caduta e ti porta in orizzontale.,空中で1回ダッシュできる。落下が打ち消され、水平に進む。,공중에서 한 번 대시할 수 있습니다. 낙하가 상쇄되어 수평으로 나아갑니다.,Możesz wykonać jeden zryw w powietrzu. Zryw znosi opadanie i niesie cię poziomo.,Você pode se impulsionar uma vez no ar. O impulso cancela a queda e leva você na horizontal.,Вы можете совершить один рывок в воздухе. Рывок гасит падение и несёт вас горизонтально.,Havada bir kez atılabilirsin. Atılış düşüşü keser ve seni yatay taşır.,可以在空中冲刺一次。冲刺会抵消下坠，让你水平前进。,可以在空中衝刺一次。衝刺會抵消下墜，讓你水平前進。
perkRuleTwoDoubleTapRank4Desc,progression,perk Agi,,,,"Stronger dash, shorter cooldown.",,"Stärkerer Dash, kürzere Abklingzeit.","Impulso más fuerte, menor tiempo de reutilización.","Ruée plus puissante, temps de recharge réduit.","Scatto più potente, ricarica più breve.",ダッシュ強化、クールダウン短縮。,"더 강한 대시, 더 짧은 재사용 대기시간.","Silniejszy zryw, krótszy czas odnowienia.","Impulso mais forte, recarga mais curta.","Более сильный рывок, короче перезарядка.","Daha güçlü atılış, daha kısa bekleme.",冲刺更强，冷却更短。,衝刺更強，冷卻更短。
perkRuleTwoDoubleTapRank4LongDesc,progression,perk Agi,,,,The dash carries further and recharges faster.,,Der Dash trägt weiter und ist schneller wieder bereit.,El impulso llega más lejos y se recupera más rápido.,La ruée porte plus loin et se recharge plus vite.,Lo scatto arriva più lontano e si ricarica più in fretta.,ダッシュの距離が伸び、再使用までの時間が短くなる。,대시 거리가 늘어나고 더 빨리 재사용할 수 있습니다.,Zryw niesie dalej i szybciej się odnawia.,O impulso vai mais longe e recarrega mais rápido.,Рывок уносит дальше и быстрее восстанавливается.,Atılış daha uzağa taşır ve daha hızlı dolar.,冲刺距离更远，冷却恢复更快。,衝刺距離更遠，冷卻恢復更快。
perkRuleTwoDoubleTapRank5Desc,progression,perk Agi,,,,Unlocks the double air dash.,,Schaltet den doppelten Air-Dash frei.,Desbloquea el doble impulso aéreo.,Débloque la double ruée aérienne.,Sblocca il doppio scatto in aria.,二段空中ダッシュを習得する。,이중 공중 대시를 해금합니다.,Odblokowuje podwójny zryw w powietrzu.,Desbloqueia o impulso aéreo duplo.,Открывает двойной рывок в воздухе.,Çift havada atılışı açar.,解锁二段空中冲刺。,解鎖二段空中衝刺。
